tipo_ejemplo,id,clee,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,latitud,longitud,source_path,source_file,source_folder,layer_type,texto_busqueda,codigo_scian_detectado,palabras_clave_detectadas,categoria_relevancia_ambiental,nota_metodologica,distancia_hidrografia_m,en_buffer_100m,en_buffer_250m,en_buffer_500m,en_buffer_1000m,rango_distancia_hidrografia,localidad,municipio,actividad_denue_original,codigo_scian_original,texto_busqueda_normalizado,etapa_productiva_sugerida,etapa_productiva_secundaria,subtipo_confeccion,presion_ambiental_potencial,confianza_clasificacion,evidencia_clasificacion,palabras_clave_etapa,reglas_activadas,tiene_senal_proceso_humedo,tiene_senal_mezclilla_jeans,tiene_senal_lavado_deslavado,tiene_senal_tenido_tintoreria,tiene_senal_acabado_tratamiento,tiene_senal_industrial,tiene_senal_maquila,es_confeccion_especializada,es_comercio_o_renta,requiere_auditoria_manual,motivo_auditoria,prioridad_auditoria,prioridad_campo,motivo_prioridad_campo,decision_estudio_sugerida,decision_alcance_proyecto,motivo_exclusion_prioritaria,flag_universo_alcance_proyecto,motivo_universo_alcance_proyecto,flag_fuera_alcance_productivo_textil,flag_estudio_prioritario,motivo_flag_estudio_prioritario,flag_proceso_humedo_relevante,flag_mezclilla_jeans,flag_lavado_deslavado,flag_tenido_tintoreria,flag_acabado_tratamiento,flag_maquila_productiva,flag_confeccion_especializada_baja_relevancia,flag_comercio_o_renta,flag_requiere_auditoria_manual,flag_prioridad_campo,flag_cercania_hidrografia_250m,flag_senal_industrial,flag_texto_ambiguo,flag_posible_falso_positivo,flag_posible_falso_negativo,query_maps,query_web,categoria_auditada,etapa_productiva_auditada,notas_auditoria,fuente_auditoria,decision_estudio,fecha_auditoria,auditor_responsable
ambiguos_auditar,9682319,21074314991000271000000000U8,BORDADOS COMPUTARIZADOS,314991,19.16159272,-98.41213947,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074314991000271000000000u8 bordados computarizados 314991 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,314991,bordado,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",220.37401184225732,False,True,True,True,100-250 m,Huejotzingo,Huejotzingo,21074314991000271000000000u8 bordados computarizados 314991 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,314991,bordados computarizados 21074314991000271000000000u8 bordados computarizados 314991 data raw agebs huejotzingo inegi denue shp inegi denue shp agebs huejotzingo denue 314991 bordado,bordado,fabricacion_textil,,baja,media,"SCIAN 314991 | bordado_estampado: bordado, bordados",,scian_prefijo_314; texto_bordado_estampado,False,False,False,False,False,False,False,False,False,True,cercania a hidrografia requiere cautela documental,alta,documental,registro ambiguo cerca de hidrografia,incluir_contexto_productivo,fuera_alcance_contexto_textil,,False,textil fuera del alcance operativo definido para este proyecto,True,False,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,BORDADOS COMPUTARIZADOS Huejotzingo Puebla Google Maps,BORDADOS COMPUTARIZADOS Huejotzingo Puebla textil maquila confeccion lavanderia tintoreria,,,,,,,
ambiguos_auditar,10070109,21074812210000981000000000U4,LAVANDERIA JUQUILITA,812210,19.16464599,-98.41176424,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074812210000981000000000u4 lavanderia juquilita 812210 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,812210,lavanderia,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",46.680596086480165,True,True,True,True,0-100 m,Huejotzingo,Huejotzingo,21074812210000981000000000u4 lavanderia juquilita 812210 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,812210,lavanderia juquilita 21074812210000981000000000u4 lavanderia juquilita 812210 data raw agebs huejotzingo inegi denue shp inegi denue shp agebs huejotzingo denue 812210 lavanderia,lavanderia_industrial,,,alta,media,SCIAN 812210 | lavanderia_industrial: lavanderia,lavanderia,scian_812210; texto_lavanderia_industrial,True,False,True,False,False,False,False,False,False,True,,alta,muy_alta,proceso humedo o tratamiento y distancia <= 250 m a hidrografia; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento; senal especifica de lavado/deslavado/lavanderia,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento y distancia <= 250 m a hidrografia,True,False,True,False,False,False,False,False,True,True,True,False,False,False,False,LAVANDERIA JUQUILITA Huejotzingo Puebla Google Maps,LAVANDERIA JUQUILITA Huejotzingo Puebla lavanderia industrial textil prendas,,,,,,,
ambiguos_auditar,10183338,21074315225000241000000000U3,TALLER DE COSTURA Y VENTA DE HUARACHES SIN NOMBRE,315225,19.16037523,-98.40969749,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074315225000241000000000u3 taller de costura y venta de huaraches sin nombre 315225 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,315225,costura,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",127.27981607851723,False,True,True,True,100-250 m,Huejotzingo,Huejotzingo,21074315225000241000000000u3 taller de costura y venta de huaraches sin nombre 315225 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,315225,taller de costura y venta de huaraches sin nombre 21074315225000241000000000u3 taller de costura y venta de huaraches sin nombre 315225 data raw agebs huejotzingo inegi denue shp inegi denue shp agebs huejotzingo denue 315225 costura,confeccion_maquila,,generica,media,media,SCIAN 315225 | confeccion: costura | comercio: venta,venta,scian_prefijo_315; texto_comercio; texto_confeccion,False,False,False,False,False,False,False,False,True,True,cercania a hidrografia requiere cautela documental; maquila o confeccion productiva sin senal humeda,alta,media,actividad productiva o ambigua cerca de hidrografia,incluir_contexto_productivo,fuera_alcance_contexto_textil,,False,textil fuera del alcance operativo definido para este proyecto,True,False,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",False,False,False,False,False,True,False,True,True,True,True,False,False,False,False,TALLER DE COSTURA Y VENTA DE HUARACHES SIN NOMBRE Huejotzingo Puebla Google Maps,TALLER DE COSTURA Y VENTA DE HUARACHES SIN NOMBRE Huejotzingo Puebla textil maquila confeccion lavanderia tintoreria,,,,,,,
ambiguos_auditar,10414011,21074315224000071000000000U7,ELABORACION DE MASCARAS ARTESANALES,315224,19.16203436,-98.39986232,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074315224000071000000000u7 elaboracion de mascaras artesanales 315224 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,315224,,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",364.02611220584606,False,False,True,True,250-500 m,Huejotzingo,Huejotzingo,21074315224000071000000000u7 elaboracion de mascaras artesanales 315224 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,315224,elaboracion de mascaras artesanales 21074315224000071000000000u7 elaboracion de mascaras artesanales 315224 data raw agebs huejotzingo inegi denue shp inegi denue shp agebs huejotzingo denue 315224,revisar,confeccion_maquila,,pendiente,baja,SCIAN 315224,,scian_prefijo_315,False,False,False,False,False,False,False,False,False,True,confeccion generica sin suficiente detalle operativo,media,baja,,mantener_pendiente,fuera_alcance_contexto_textil,,False,textil fuera del alcance operativo definido para este proyecto,True,False,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,ELABORACION DE MASCARAS ARTESANALES Huejotzingo Puebla Google Maps,ELABORACION DE MASCARAS ARTESANALES Huejotzingo Puebla textil maquila confeccion lavanderia tintoreria,,,,,,,
ambiguos_auditar,10523798,21074811499000291000000000U8,CONFECCIONES Y COSTURAS ZIC ZAC,811499,19.16107157,-98.40428645,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074811499000291000000000u8 confecciones y costuras zic zac 811499 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,811499,confeccion; costura,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",466.8031505167743,False,False,True,True,250-500 m,Huejotzingo,Huejotzingo,21074811499000291000000000u8 confecciones y costuras zic zac 811499 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,811499,confecciones y costuras zic zac 21074811499000291000000000u8 confecciones y costuras zic zac 811499 data raw agebs huejotzingo inegi denue shp inegi denue shp agebs huejotzingo denue 811499 confeccion costura,revisar,,generica,pendiente,baja,"confeccion: costura, confeccion, confecciones",,texto_confeccion,False,False,False,False,False,False,False,False,False,True,confeccion generica sin suficiente detalle operativo,media,baja,,mantener_pendiente,fuera_alcance_contexto_textil,,False,textil fuera del alcance operativo definido para este proyecto,True,False,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,CONFECCIONES Y COSTURAS ZIC ZAC Huejotzingo Puebla Google Maps,CONFECCIONES Y COSTURAS ZIC ZAC Huejotzingo Puebla textil maquila confeccion lavanderia tintoreria,,,,,,,
procesos_humedos,8271825,21074812210000401000000000U3,TINTORERIA HIGIENICA,812210,19.16117536,-98.41133705,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074812210000401000000000u3 tintoreria higienica 812210 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,812210,tintoreria,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",550.7543521535267,False,False,False,True,500-1000 m,Huejotzingo,Huejotzingo,21074812210000401000000000u3 tintoreria higienica 812210 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,812210,tintoreria higienica 21074812210000401000000000u3 tintoreria higienica 812210 data raw agebs huejotzingo inegi denue shp inegi denue shp agebs huejotzingo denue 812210 tintoreria,lavanderia_industrial,,,alta,alta,SCIAN 812210 | tenido_tintoreria: tintoreria,tintoreria,scian_812210; texto_tenido_tintoreria,True,False,False,True,False,False,False,False,False,False,,alta,alta,proceso humedo o tratamiento; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,TINTORERIA HIGIENICA Huejotzingo Puebla Google Maps,TINTORERIA HIGIENICA Huejotzingo Puebla lavanderia industrial textil prendas,,,,,,,
procesos_humedos,8279928,21074812210000541000000000U6,LAVANDERIA EL REHILETE,812210,19.16077465,-98.40040422,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074812210000541000000000u6 lavanderia el rehilete 812210 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,812210,lavanderia,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",658.4668822693124,False,False,False,True,500-1000 m,Huejotzingo,Huejotzingo,21074812210000541000000000u6 lavanderia el rehilete 812210 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,812210,lavanderia el rehilete 21074812210000541000000000u6 lavanderia el rehilete 812210 data raw agebs huejotzingo inegi denue shp inegi denue shp agebs huejotzingo denue 812210 lavanderia,lavanderia_industrial,,,alta,media,SCIAN 812210 | lavanderia_industrial: lavanderia,lavanderia,scian_812210; texto_lavanderia_industrial,True,False,True,False,False,False,False,False,False,False,,alta,alta,proceso humedo o tratamiento; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento; senal especifica de lavado/deslavado/lavanderia,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,LAVANDERIA EL REHILETE Huejotzingo Puebla Google Maps,LAVANDERIA EL REHILETE Huejotzingo Puebla lavanderia industrial textil prendas,,,,,,,
procesos_humedos,8592165,21074812210000571000000000U3,LAVANDERIA SUNNY CLEAN,812210,19.15472383,-98.40865163,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074812210000571000000000u3 lavanderia sunny clean 812210 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,812210,lavanderia,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",184.002792065141,False,True,True,True,100-250 m,Huejotzingo,Huejotzingo,21074812210000571000000000u3 lavanderia sunny clean 812210 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,812210,lavanderia sunny clean 21074812210000571000000000u3 lavanderia sunny clean 812210 data raw agebs huejotzingo inegi denue shp inegi denue shp agebs huejotzingo denue 812210 lavanderia,lavanderia_industrial,,,alta,media,SCIAN 812210 | lavanderia_industrial: lavanderia,lavanderia,scian_812210; texto_lavanderia_industrial,True,False,True,False,False,False,False,False,False,True,,alta,muy_alta,proceso humedo o tratamiento y distancia <= 250 m a hidrografia; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento; senal especifica de lavado/deslavado/lavanderia,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento y distancia <= 250 m a hidrografia,True,False,True,False,False,False,False,False,True,True,True,False,False,False,False,LAVANDERIA SUNNY CLEAN Huejotzingo Puebla Google Maps,LAVANDERIA SUNNY CLEAN Huejotzingo Puebla lavanderia industrial textil prendas,,,,,,,
procesos_humedos,8803988,21074812210000561000000000U4,TINTORERIA SANTIAGO,812210,19.15485774,-98.40856363,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074812210000561000000000u4 tintoreria santiago 812210 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,812210,tintoreria,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",153.3478692122728,False,True,True,True,100-250 m,Huejotzingo,Huejotzingo,21074812210000561000000000u4 tintoreria santiago 812210 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,812210,tintoreria santiago 21074812210000561000000000u4 tintoreria santiago 812210 data raw agebs huejotzingo inegi denue shp inegi denue shp agebs huejotzingo denue 812210 tintoreria,lavanderia_industrial,,,alta,alta,SCIAN 812210 | tenido_tintoreria: tintoreria,tintoreria,scian_812210; texto_tenido_tintoreria,True,False,False,True,False,False,False,False,False,True,,alta,muy_alta,proceso humedo o tratamiento y distancia <= 250 m a hidrografia; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento y distancia <= 250 m a hidrografia,True,False,False,True,False,False,False,False,True,True,True,False,False,False,False,TINTORERIA SANTIAGO Huejotzingo Puebla Google Maps,TINTORERIA SANTIAGO Huejotzingo Puebla lavanderia industrial textil prendas,,,,,,,
procesos_humedos,9624559,21074812210000681000000000U0,LAVANDERIA SERGIO,812210,19.17696831,-98.39106949,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074812210000681000000000u0 lavanderia sergio 812210 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,812210,lavanderia,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",7.814713566941766,True,True,True,True,0-100 m,Huejotzingo,Huejotzingo,21074812210000681000000000u0 lavanderia sergio 812210 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,812210,lavanderia sergio 21074812210000681000000000u0 lavanderia sergio 812210 data raw agebs huejotzingo inegi denue shp inegi denue shp agebs huejotzingo denue 812210 lavanderia,lavanderia_industrial,,,alta,media,SCIAN 812210 | lavanderia_industrial: lavanderia,lavanderia,scian_812210; texto_lavanderia_industrial,True,False,True,False,False,False,False,False,False,True,,alta,muy_alta,proceso humedo o tratamiento y distancia <= 250 m a hidrografia; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento; senal especifica de lavado/deslavado/lavanderia,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento y distancia <= 250 m a hidrografia,True,False,True,False,False,False,False,False,True,True,True,False,False,False,False,LAVANDERIA SERGIO Huejotzingo Puebla Google Maps,LAVANDERIA SERGIO Huejotzingo Puebla lavanderia industrial textil prendas,,,,,,,
procesos_humedos,10070109,21074812210000981000000000U4,LAVANDERIA JUQUILITA,812210,19.16464599,-98.41176424,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074812210000981000000000u4 lavanderia juquilita 812210 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,812210,lavanderia,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",46.680596086480165,True,True,True,True,0-100 m,Huejotzingo,Huejotzingo,21074812210000981000000000u4 lavanderia juquilita 812210 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,812210,lavanderia juquilita 21074812210000981000000000u4 lavanderia juquilita 812210 data raw agebs huejotzingo inegi denue shp inegi denue shp agebs huejotzingo denue 812210 lavanderia,lavanderia_industrial,,,alta,media,SCIAN 812210 | lavanderia_industrial: lavanderia,lavanderia,scian_812210; texto_lavanderia_industrial,True,False,True,False,False,False,False,False,False,True,,alta,muy_alta,proceso humedo o tratamiento y distancia <= 250 m a hidrografia; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento; senal especifica de lavado/deslavado/lavanderia,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento y distancia <= 250 m a hidrografia,True,False,True,False,False,False,False,False,True,True,True,False,False,False,False,LAVANDERIA JUQUILITA Huejotzingo Puebla Google Maps,LAVANDERIA JUQUILITA Huejotzingo Puebla lavanderia industrial textil prendas,,,,,,,
procesos_humedos,10118182,21074812210000811000000000U3,CLEAN CLOTHES,812210,19.14838929,-98.40590617,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074812210000811000000000u3 clean clothes 812210 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,812210,,revisar,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",604.9447386743516,False,False,False,True,500-1000 m,Huejotzingo,Huejotzingo,21074812210000811000000000u3 clean clothes 812210 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,812210,clean clothes 21074812210000811000000000u3 clean clothes 812210 data raw agebs huejotzingo inegi denue shp inegi denue shp agebs huejotzingo denue 812210,lavanderia_industrial,,,alta,media,SCIAN 812210 | lavanderia_industrial: clean clothes,clean clothes,scian_812210; texto_lavanderia_industrial,True,False,True,False,False,False,False,False,False,False,,alta,alta,proceso humedo o tratamiento; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento; senal especifica de lavado/deslavado/lavanderia,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,CLEAN CLOTHES Huejotzingo Puebla Google Maps,CLEAN CLOTHES Huejotzingo Puebla lavanderia industrial textil prendas,,,,,,,
procesos_humedos,10279073,21074812210000841000000000U0,LAVANDERIA SIN NOMBRE,812210,19.17748238,-98.39006779,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074812210000841000000000u0 lavanderia sin nombre 812210 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,812210,lavanderia,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",341.4405841073572,False,False,True,True,250-500 m,Huejotzingo,Huejotzingo,21074812210000841000000000u0 lavanderia sin nombre 812210 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,812210,lavanderia sin nombre 21074812210000841000000000u0 lavanderia sin nombre 812210 data raw agebs huejotzingo inegi denue shp inegi denue shp agebs huejotzingo denue 812210 lavanderia,lavanderia_industrial,,,alta,media,SCIAN 812210 | lavanderia_industrial: lavanderia,lavanderia,scian_812210; texto_lavanderia_industrial,True,False,True,False,False,False,False,False,False,False,,alta,alta,proceso humedo o tratamiento; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento; senal especifica de lavado/deslavado/lavanderia,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,LAVANDERIA SIN NOMBRE Huejotzingo Puebla Google Maps,LAVANDERIA SIN NOMBRE Huejotzingo Puebla lavanderia industrial textil prendas,,,,,,,
procesos_humedos,10340864,21074812210000731000000000U3,TINTOWASH,812210,19.16123838,-98.40864821,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074812210000731000000000u3 tintowash 812210 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,812210,,revisar,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",1184.0365846332002,False,False,False,False,>1000 m,Huejotzingo,Huejotzingo,21074812210000731000000000u3 tintowash 812210 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,812210,tintowash 21074812210000731000000000u3 tintowash 812210 data raw agebs huejotzingo inegi denue shp inegi denue shp agebs huejotzingo denue 812210,lavanderia_industrial,,,alta,media,SCIAN 812210,,scian_812210,True,False,False,False,False,False,False,False,False,False,,alta,alta,proceso humedo o tratamiento; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,TINTOWASH Huejotzingo Puebla Google Maps,TINTOWASH Huejotzingo Puebla lavanderia industrial textil prendas,,,,,,,
procesos_humedos,10501043,21074812210000801000000000U4,LAVANDERIA RAPIDI WUASH,812210,19.14960063,-98.40921251,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074812210000801000000000u4 lavanderia rapidi wuash 812210 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,812210,lavanderia,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",532.6146971833612,False,False,False,True,500-1000 m,Huejotzingo,Huejotzingo,21074812210000801000000000u4 lavanderia rapidi wuash 812210 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,812210,lavanderia rapidi wuash 21074812210000801000000000u4 lavanderia rapidi wuash 812210 data raw agebs huejotzingo inegi denue shp inegi denue shp agebs huejotzingo denue 812210 lavanderia,lavanderia_industrial,,,alta,media,SCIAN 812210 | lavanderia_industrial: lavanderia,lavanderia,scian_812210; texto_lavanderia_industrial,True,False,True,False,False,False,False,False,False,False,,alta,alta,proceso humedo o tratamiento; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento; senal especifica de lavado/deslavado/lavanderia,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,LAVANDERIA RAPIDI WUASH Huejotzingo Puebla Google Maps,LAVANDERIA RAPIDI WUASH Huejotzingo Puebla lavanderia industrial textil prendas,,,,,,,
procesos_humedos,10799209,21074811410000291000000000U5,REPARADORA DE LAVADORAS,811410,19.13788635,-98.41426237,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074811410000291000000000u5 reparadora de lavadoras 811410 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,811410,lavado,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",264.46759328593674,False,False,True,True,250-500 m,Huejotzingo,Huejotzingo,21074811410000291000000000u5 reparadora de lavadoras 811410 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,811410,reparadora de lavadoras 21074811410000291000000000u5 reparadora de lavadoras 811410 data raw agebs huejotzingo inegi denue shp inegi denue shp agebs huejotzingo denue 811410 lavado,lavado_deslavado,,,alta,alta,lavado_deslavado: lavado,lavado,texto_lavado_deslavado,True,False,True,False,False,False,False,False,False,False,,alta,alta,proceso humedo o tratamiento; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento; senal especifica de lavado/deslavado/lavanderia,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,REPARADORA DE LAVADORAS Huejotzingo Puebla Google Maps,REPARADORA DE LAVADORAS Huejotzingo Puebla lavado deslavado mezclilla jeans,,,,,,,
