grupo_espacial,senal,n_grupo,conteo_senal,prevalencia_grupo,prevalencia_universo,diferencia_prevalencia,lift,log2_lift,odds_ratio_fisher,or_ic95_inf,or_ic95_sup,p_fisher,p_ajustada_bh,evidencia_descriptiva_suficiente,puntaje_interpretativo
CLUSTER_010,scian_textil,142,137,0.9647887323943662,0.6044887780548629,0.3602999543395033,1.5960407660484357,0.6744975013251763,18.94158285964145,7.352830773952131,40.62951457751743,2.17898216245239e-24,2.328787186120992e-23,True,2.844492780447896
CLUSTER_010,produccion,142,30,0.2112676056338028,0.1219451371571072,0.0893224684766955,1.7324807742158472,0.7928393424938853,1.9893790849673203,1.33261592217972,3.036686746335286,0.0023437996211047,0.0072214366704308,True,0.387888171885231
CLUSTER_012,textil,224,147,0.65625,0.2483790523690773,0.4078709476309227,2.6421310240963853,1.401702012052962,6.604240282685512,4.947255356707352,8.75478111349416,2.276996758762427e-40,3.89366445748375e-39,True,6.931658144513771
CLUSTER_012,actividad_confeccion,224,188,0.8392857142857143,0.3895261845386533,0.4497595297470609,2.154632339491495,1.1074417128203369,9.167394468704511,6.320392762257538,12.999841845546053,6.326253243327714e-46,1.4423857394787191e-44,True,6.8293626711320075
CLUSTER_012,proceso_seco_explicito,224,109,0.4866071428571428,0.1605985037406483,0.3260086391164944,3.029960625554569,1.5992990459469878,5.759593661113368,4.363955620131587,7.593334135958045,3.751765636688645e-32,5.8322902170341675e-31,True,5.443422398760996
CLUSTER_012,scian_textil,224,208,0.9285714285714286,0.6044887780548629,0.3240826505165657,1.536126826968411,0.6192973339528196,9.21028880866426,5.401323479397826,14.841727479421497,1.4026501873326817e-29,1.776690237288063e-28,True,2.894587350948466
CLUSTER_012,senal_mezclilla_o_pantalon,224,31,0.1383928571428571,0.0456359102244389,0.0927569469184182,3.03254293520687,1.6005280713875114,3.840128170166349,2.5749373724890456,5.845775829679576,1.2363481160470065e-08,6.71160405854089e-08,True,0.8265908393784375
CLUSTER_013,actividad_confeccion,149,121,0.8120805369127517,0.3895261845386533,0.4225543523740984,2.0847906229322244,1.0599025000127364,7.257360959651036,4.735967515058838,10.820192855121013,6.281339329723575e-27,7.407648450915389e-26,True,4.926530559198266
CLUSTER_013,proceso_seco_explicito,149,71,0.4765100671140939,0.1605985037406483,0.3159115633734455,2.967089082496144,1.569048242270186,5.223251443146731,3.7455284830205726,7.282634496936397,2.7717517686603217e-20,2.788056190828912e-19,True,4.176677991285275
CLUSTER_013,textil,149,79,0.5302013422818792,0.2483790523690773,0.2818222899128019,2.134645966416,1.093996816989143,3.6232434958716313,2.604106326260629,5.029308568770324,5.320887918758052e-14,4.231962019105241e-13,True,2.7403431133463827
CLUSTER_013,scian_textil,149,137,0.9194630872483222,0.6044887780548629,0.3149743091934592,1.52105898509314,0.6050761003676967,7.857382305786328,4.228320665464224,13.557530154846946,1.1617780829453896e-18,1.0187900111982649e-17,True,2.2307218177468506
CLUSTER_013,maquila,149,55,0.3691275167785235,0.1468827930174563,0.2222447237610671,2.513075284009982,1.32945389057432,3.645409992828114,2.5924640591774515,5.156444102286232,6.19884969606333e-12,4.156875678536586e-11,True,2.1912205053280815
CLUSTER_014,proceso_seco_explicito,14,6,0.4285714285714285,0.1605985037406483,0.2679729248307801,2.668589174800355,1.4160772218912177,3.947492163009404,1.4435511498094555,11.20793456986201,0.0158335488580496,0.0429767754718489,True,0.9295087421070898
CLUSTER_016,maquila,51,23,0.4509803921568627,0.1468827930174563,0.3040975991394063,3.070341888877792,1.6183993115973392,4.924217566885411,2.840278869353423,8.589757441750004,1.5715127632827598e-07,8.021751717055282e-07,True,2.3602749350982837
CLUSTER_016,actividad_confeccion,51,36,0.7058823529411765,0.3895261845386533,0.3163561684025232,1.812156360623635,0.8577074426711203,3.826474442988205,2.0650857410473265,6.8242248592469625,7.206383356800138e-06,3.286110810700863e-05,True,1.6280462410425747
CLUSTER_016,scian_textil,51,43,0.8431372549019608,0.6044887780548629,0.2386484768470979,1.3947938911538211,0.4800519505999339,3.5622637547249054,1.6220065038386544,7.093753153734739,0.0002653105901091,0.0009551181243929,True,0.751244202278652
CLUSTER_017,actividad_confeccion,45,38,0.8444444444444444,0.3895261845386533,0.4549182599057911,2.16787594252383,1.1162822003142143,8.694975628046494,3.7501216274891473,18.02238150064455,5.514904606898105e-10,3.2518920268261247e-09,True,3.1303951882002785
CLUSTER_017,scian_textil,45,39,0.8666666666666667,0.6044887780548629,0.2621778886118038,1.4337183718371835,0.5197616604019052,4.30607966457023,1.7520351560801937,9.252408951805776,0.000170048553799,0.0006461845044364,True,0.8510059690777982
CLUSTER_018,textil,32,15,0.46875,0.2483790523690773,0.2203709476309227,1.8872364457831323,0.9162751848827202,2.695628710199676,1.3602390527507384,5.379102689789531,0.006619932237274,0.0188668068762311,True,0.7820344656827636
CLUSTER_019,actividad_confeccion,100,76,0.76,0.3895261845386533,0.3704738154613466,1.951088348271447,0.9642791068691642,5.165545087483176,3.21642020540578,8.063664865373505,4.4471433544085065e-14,3.6212453028754983e-13,True,3.114347511082537
CLUSTER_019,maquila,100,44,0.44,0.1468827930174563,0.2931172069825436,2.9955857385398983,1.5828381263743945,4.85124508519004,3.247088333486224,7.271746037999928,7.980389675097186e-13,6.0650961530738616e-12,True,3.077543177408931
CLUSTER_019,produccion,100,35,0.35,0.1219451371571072,0.2280548628428927,2.870143149284253,1.5211226935602906,4.098949508641138,2.7081420579811857,6.273472687060049,1.7418478080283541e-09,9.928532505761616e-09,True,2.0522846883054258
CLUSTER_019,scian_textil,100,91,0.91,0.6044887780548629,0.3055112219451371,1.5054042904290428,0.5901509882933031,6.834643044244416,3.327985206261749,12.739040428020456,5.6508365571548395e-12,3.865172205093911e-11,True,1.7199309123789743
CLUSTER_019,textil,100,39,0.39,0.2483790523690773,0.1416209476309227,1.5701807228915663,0.6509306183617254,1.9728146359011252,1.319747925187528,2.974057472930609,0.0014608203936725,0.0046691642489347,True,0.5756977072662746
CLUSTER_020,scian_lavanderia,1997,1185,0.5933900851276915,0.3955112219451371,0.1978788631825543,1.500311627592713,0.585262191979953,5.866552829748289,5.088598230578672,6.748178504470282,1.9160448123396677e-148,2.184291086067221e-146,True,3.986658647764698
CLUSTER_020,actividad_lavanderia_tintoreria,1997,1185,0.5933900851276915,0.3955112219451371,0.1978788631825543,1.500311627592713,0.585262191979953,5.866552829748289,5.088598230578672,6.748178504470282,1.9160448123396677e-148,2.184291086067221e-146,True,3.986658647764698
CLUSTER_020,lavado_generico,1997,871,0.4361542313470205,0.2992518703241895,0.136902361022831,1.4574820564179602,0.5434781220012938,3.959368774530711,3.412646126903071,4.583659274346642,2.9980070992486638e-81,1.1392426977144924e-79,True,2.1958470256786504
CLUSTER_020,humedo_explicito,1997,313,0.1567351026539809,0.0922693266832917,0.0644657759706892,1.6986696260607126,0.7644052903146162,6.378172271533942,4.744902263821084,8.451422310861885,1.6040656242068404e-48,3.9185031677052807e-47,True,0.8718164663419264
CLUSTER_020,actividad_fabricacion_telas,1997,106,0.0530796194291437,0.0386533665835411,0.0144262528456025,1.373221122005589,0.4575639531872716,2.246775812387356,1.5856829966821258,3.148935923651885,2.3867751721333686e-06,1.13371820676335e-05,True,0.06796076765384866
RUIDO_DISPERSO,proceso_seco_explicito,578,132,0.2283737024221453,0.1605985037406483,0.0677751986814969,1.422016376883234,0.5079380800854403,1.687920403587444,1.363325583358668,2.09756741264286,3.993530237590574e-06,1.870941563364351e-05,True,0.39552008104302594
